,bitmart,bitmax,latoken,coinex,whitebit,bitrue,phemex-spot,kucoin,poloniex,binance,bingx,coinlist
xeggex,0.6,0.53,0.49,0.48,0.47,0.46,0.46,0.45,0.43,0.42,0.42,0.4
binance-us,0.37,0.29,0.26,0.25,0.23,0.22,0.22,0.22,0.2,0.18,0.18,0.17
kraken,0.33,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.16,0.15,0.15,0.13
coinsbit,0.33,0.25,0.22,0.21,0.19,0.18,0.18,0.18,0.16,0.14,0.14,0.13
bybit-spot,0.31,0.24,0.2,0.19,0.17,0.16,0.16,0.16,0.14,0.13,0.13,0.11
crypto-com,0.31,0.23,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.12,0.12,0.11
nonkyc,0.3,0.22,0.18,0.17,0.16,0.15,0.15,0.14,0.12,0.11,0.11,0.1
lbank,0.29,0.22,0.18,0.17,0.16,0.15,0.15,0.14,0.12,0.11,0.11,0.09
huobipro,0.29,0.21,0.18,0.17,0.15,0.14,0.14,0.14,0.11,0.1,0.1,0.09
bitget,0.26,0.19,0.15,0.14,0.13,0.12,0.12,0.11,0.09,0.08,0.08,0.06
probit,0.26,0.18,0.15,0.14,0.12,0.11,0.11,0.11,0.08,0.07,0.07,0.06
bydfi,0.26,0.18,0.15,0.14,0.12,0.11,0.11,0.11,0.08,0.07,0.07,0.06
