,yobit,xeggex,probit,bitmax,exmo,coinw,bigone,fastex,mxc,p2pb2b,coinlist,tidex
coinbasepro,0.84,0.69,0.53,0.38,0.35,0.34,0.34,0.34,0.33,0.33,0.31,0.27
btcturk-pro,0.81,0.66,0.5,0.35,0.32,0.31,0.31,0.31,0.3,0.3,0.28,0.24
oceanex,0.75,0.6,0.44,0.3,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.18
bybit-spot,0.75,0.6,0.44,0.29,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.18
bitget,0.74,0.59,0.43,0.28,0.25,0.24,0.24,0.24,0.23,0.23,0.21,0.17
bydfi,0.73,0.57,0.42,0.27,0.23,0.23,0.22,0.22,0.22,0.22,0.19,0.15
binance-us,0.72,0.57,0.41,0.26,0.23,0.22,0.21,0.21,0.21,0.21,0.18,0.15
bingx,0.7,0.54,0.39,0.24,0.2,0.2,0.19,0.19,0.18,0.18,0.16,0.12
kucoin,0.69,0.54,0.38,0.23,0.2,0.19,0.18,0.18,0.18,0.18,0.15,0.12
binance,0.69,0.54,0.38,0.23,0.2,0.19,0.18,0.18,0.18,0.18,0.15,0.12
huobipro,0.65,0.49,0.34,0.19,0.15,0.15,0.14,0.14,0.13,0.13,0.11,0.07
okx,0.63,0.48,0.32,0.18,0.14,0.13,0.13,0.13,0.12,0.12,0.1,0.06
