,fatbtc,coinbasepro,btcturk-pro,xeggex,binance,bybit-spot,digifinex,latoken,cryptology,bingx,bydfi,gateio
bitmax,47.5,0.57,0.57,0.56,0.43,0.41,0.41,0.39,0.33,0.32,0.28,0.26
btse,47.5,0.56,0.56,0.54,0.41,0.39,0.39,0.37,0.31,0.3,0.27,0.25
tidex,47.5,0.55,0.55,0.54,0.41,0.39,0.39,0.37,0.31,0.3,0.26,0.24
binance-us,47.5,0.55,0.55,0.53,0.4,0.38,0.38,0.36,0.3,0.29,0.26,0.24
lbank,47.5,0.53,0.53,0.51,0.38,0.37,0.37,0.34,0.28,0.27,0.24,0.22
coinsbit,47.5,0.53,0.53,0.51,0.38,0.37,0.37,0.34,0.28,0.27,0.24,0.22
bitmart,47.5,0.51,0.51,0.49,0.37,0.35,0.35,0.33,0.26,0.26,0.22,0.2
kucoin,47.4,0.46,0.46,0.44,0.31,0.29,0.29,0.27,0.21,0.2,0.17,0.15
okx,47.4,0.46,0.46,0.44,0.31,0.29,0.29,0.27,0.21,0.2,0.17,0.15
p2pb2b,47.4,0.44,0.44,0.42,0.29,0.27,0.27,0.25,0.19,0.18,0.15,0.13
huobipro,47.4,0.42,0.42,0.4,0.27,0.25,0.25,0.23,0.17,0.16,0.13,0.11
exmo,47.4,0.41,0.41,0.4,0.27,0.25,0.25,0.23,0.17,0.16,0.12,0.1
