,fatbtc,xeggex,gateio,cex,coinbasepro,kraken,tidex,bitstamp,bybit-spot,huobipro,probit,fastex
bitso,24.1,0.44,0.39,0.34,0.3,0.3,0.28,0.27,0.26,0.26,0.24,0.24
bitget,24.1,0.37,0.32,0.27,0.23,0.23,0.21,0.2,0.19,0.19,0.17,0.17
btcturk-pro,24.1,0.37,0.32,0.26,0.22,0.22,0.21,0.19,0.19,0.19,0.17,0.17
crypto-com,24.0,0.32,0.27,0.22,0.18,0.17,0.16,0.15,0.14,0.14,0.12,0.12
okx,24.0,0.31,0.26,0.21,0.17,0.17,0.15,0.14,0.13,0.13,0.11,0.11
coinsbit,24.0,0.31,0.26,0.21,0.17,0.17,0.15,0.14,0.13,0.13,0.11,0.11
kucoin,24.0,0.29,0.24,0.18,0.14,0.14,0.13,0.11,0.11,0.1,0.09,0.09
bingx,24.0,0.27,0.22,0.17,0.13,0.13,0.12,0.1,0.09,0.09,0.07,0.07
oceanex,24.0,0.27,0.21,0.16,0.12,0.12,0.11,0.09,0.08,0.08,0.07,0.07
btcalpha,24.0,0.26,0.2,0.15,0.11,0.11,0.1,0.08,0.07,0.07,0.06,0.06
bitmax,24.0,0.26,0.2,0.15,0.11,0.11,0.1,0.08,0.07,0.07,0.06,0.06
bydfi,24.0,0.26,0.2,0.15,0.11,0.11,0.1,0.08,0.07,0.07,0.06,0.06
