,cex,kraken,binance-us,digifinex,coinex,bitmax,gateio,coinbasepro,latoken,bingx,kucoin,binance
xeggex,3.64,1.2,1.08,1.08,1.03,1.02,1.02,1.02,1.02,1.02,0.99,0.96
exmo,3.64,1.2,1.08,1.08,1.03,1.02,1.02,1.02,1.02,1.02,0.99,0.96
probit,3.52,1.08,0.96,0.96,0.91,0.9,0.9,0.9,0.9,0.9,0.87,0.84
indodax,3.23,0.78,0.66,0.66,0.61,0.6,0.6,0.6,0.6,0.6,0.57,0.54
fastex,2.93,0.48,0.36,0.36,0.31,0.3,0.3,0.3,0.3,0.3,0.27,0.24
okx,2.89,0.44,0.32,0.31,0.27,0.26,0.26,0.26,0.26,0.26,0.22,0.2
mxc,2.87,0.42,0.3,0.3,0.25,0.24,0.24,0.24,0.24,0.24,0.2,0.18
crypto-com,2.87,0.41,0.3,0.29,0.25,0.23,0.23,0.23,0.23,0.23,0.2,0.17
deepcoin,2.82,0.36,0.24,0.23,0.19,0.18,0.18,0.18,0.18,0.18,0.14,0.12
huobipro,2.82,0.36,0.24,0.23,0.19,0.18,0.18,0.18,0.18,0.18,0.14,0.12
p2pb2b,2.82,0.36,0.24,0.23,0.19,0.18,0.18,0.18,0.18,0.18,0.14,0.12
bitget,2.81,0.35,0.23,0.23,0.18,0.17,0.17,0.17,0.17,0.17,0.14,0.11
