,coinlist,exmo,binance-us,phemex-spot,bybit-spot,bingx,binance,crypto-com,bitmax,coinex,kucoin,kraken
bitmex-spot,1.68,1.32,1.22,1.18,1.17,1.17,1.16,1.16,1.16,1.15,1.11,1.07
coinbasepro,1.06,0.71,0.61,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.49,0.46
okx,0.87,0.52,0.41,0.37,0.36,0.36,0.36,0.36,0.35,0.34,0.3,0.27
bitmart,0.71,0.36,0.25,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.14,0.1
bydfi,0.69,0.34,0.23,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.12,0.08
mxc,0.69,0.34,0.23,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.12,0.08
lbank,0.69,0.33,0.23,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.11,0.08
bitget,0.68,0.33,0.22,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.11,0.07
gateio,0.66,0.3,0.2,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.09,0.05
huobipro,0.65,0.29,0.19,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.08,0.04
kraken,0.61,0.25,0.15,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.03,0.57
kucoin,0.22,0.11,0.07,0.06,0.06,0.06,0.06,0.05,0.04,-0.03,0.0,0.0
