,cex,nonkyc,xeggex,phemex-spot,exmo,okx,bybit-spot,bitmax,poloniex,latoken,gateio,btse
fatbtc,2.88,1.49,1.44,1.38,1.31,1.3,1.29,1.29,1.28,1.28,1.28,1.27
upbit,2.38,0.98,0.93,0.87,0.8,0.79,0.77,0.77,0.77,0.77,0.77,0.76
btcturk-pro,1.88,0.47,0.42,0.36,0.3,0.28,0.27,0.27,0.26,0.26,0.26,0.25
bitmex-spot,1.86,0.46,0.4,0.34,0.28,0.27,0.25,0.25,0.24,0.24,0.24,0.24
btcalpha,1.72,0.32,0.26,0.2,0.14,0.12,0.11,0.11,0.1,0.1,0.1,0.09
bydfi,1.71,0.3,0.25,0.19,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.08
huobipro,1.71,0.3,0.24,0.18,0.12,0.11,0.09,0.09,0.08,0.08,0.08,0.08
coinw,1.7,0.29,0.24,0.18,0.12,0.1,0.09,0.09,0.08,0.08,0.08,0.07
probit,1.69,0.29,0.23,0.17,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.07
kucoin,1.69,0.29,0.23,0.17,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.07
bitget,1.69,0.28,0.23,0.17,0.1,0.09,0.07,0.07,0.07,0.07,0.07,0.06
cryptology,1.69,0.28,0.23,0.17,0.1,0.09,0.07,0.07,0.07,0.07,0.07,0.06
